length ,variant ,grade ,code         ,diameter ,postLengthBin ,postPrice ,packPrice ,weight
   1.8 ,regular ,    1 ,RR8018       ,80       ,short         ,     9.25 ,      840 ,   630
   1.8 ,regular ,    1 ,RR10018      ,100      ,short         ,    13.05 ,      711 ,   630
   1.8 ,regular ,    2 ,RR10018G2    ,100      ,short         ,    11.75 ,      640 ,   630
   1.8 ,regular ,    2 ,RR12018G2    ,120      ,short         ,    15.20 ,      580 ,   630
   1.8 ,regular ,    1 ,RR12018      ,120      ,short         ,    16.85 ,      644 ,   630
   1.8 ,regular ,    1 ,RR14018      ,140      ,short         ,    22.45 ,      612 ,   675
   1.8 ,regular ,    1 ,RR16018      ,160      ,short         ,    28.50 ,      544 ,   675
   1.8 ,regular ,    1 ,RR18018      ,180      ,short         ,    36.30 ,      528 ,   650
   1.8 ,regular ,    1 ,RR20018      ,200      ,short         ,    45.20 ,      494 ,   650
   1.8 ,SY      ,    1 ,RRSY16018    ,160      ,short         ,    36.20 ,      691 ,   650
   1.8 ,SY      ,    1 ,RRSY18018    ,180      ,short         ,    44.00 ,      640 ,   625
   2.1 ,regular ,    1 ,RR80121      ,80       ,short         ,    11.05 ,     1005 ,   730
   2.1 ,regular ,    1 ,RR10021      ,100      ,short         ,    15.80 ,      863 ,   760
   2.1 ,regular ,    1 ,RR12021      ,120      ,short         ,    20.20 ,      772 ,   760
   2.1 ,regular ,    1 ,RR14021      ,140      ,short         ,    25.80 ,      703 ,   790
   2.1 ,regular ,    1 ,RR16021      ,160      ,short         ,    32.75 ,      625 ,   760
   2.1 ,regular ,    2 ,RR18021G2    ,180      ,short         ,    37.30 ,      542 ,   770
   2.1 ,regular ,    1 ,RR18021      ,180      ,short         ,    41.40 ,      602 ,   770
   2.1 ,regular ,    1 ,RR18021P     ,180      ,short         ,    46.40 ,      682 ,   770
   2.1 ,regular ,    2 ,RR20021G2    ,200      ,short         ,    46.75 ,      510 ,   730
   2.1 ,regular ,    1 ,RR20021      ,200      ,short         ,    51.90 ,      566 ,   730
   2.1 ,regular ,    1 ,RR20021P     ,200      ,short         ,    58.60 ,      646 ,   730
