length ,variant ,grade ,code         ,diameter ,postLengthBin ,postPrice ,packPrice ,weight
   1.8 ,regular ,    1 ,RR8018       ,80       ,short         ,     7.50 ,      750 ,   630
   1.8 ,regular ,    1 ,RR10018      ,100      ,short         ,    10.58 ,      635 ,   630
   1.8 ,regular ,    2 ,RR12018G2    ,120      ,short         ,    12.33 ,      518 ,   630
   1.8 ,regular ,    1 ,RR12018      ,120      ,short         ,    13.69 ,      575 ,   630
   1.8 ,regular ,    1 ,RR14018      ,140      ,short         ,    18.20 ,      546 ,   675
   1.8 ,regular ,    1 ,RR16018      ,160      ,short         ,    23.10 ,      485 ,   675
   1.8 ,regular ,    1 ,RR18018      ,180      ,short         ,    29.50 ,      472 ,   650
   1.8 ,regular ,    1 ,RR20018      ,200      ,short         ,    36.75 ,      441 ,   650
   1.8 ,SY      ,    1 ,RRSY16018    ,160      ,short         ,    29.38 ,      617 ,   650
   1.8 ,SY      ,    1 ,RRSY18018    ,180      ,short         ,    35.69 ,      571 ,   650
   2.1 ,regular ,    1 ,RR8021       ,80       ,short         ,     8.97 ,      897 ,   875
   2.1 ,regular ,    1 ,RR10021      ,100      ,short         ,    12.85 ,      771 ,   760
   2.1 ,regular ,    1 ,RR12021      ,120      ,short         ,    16.43 ,      690 ,   760
   2.1 ,regular ,    1 ,RR14021      ,140      ,short         ,    20.93 ,      628 ,   790
   2.1 ,regular ,    1 ,RR16021      ,160      ,short         ,    26.57 ,      558 ,   760
   2.1 ,regular ,    1 ,RR18021      ,180      ,short         ,    33.56 ,      537 ,   770
   2.1 ,regular ,    1 ,RR20021      ,200      ,short         ,    42.17 ,      506 ,   730
   2.1 ,regular ,    1 ,RL22525021   ,225-250  ,short         ,    57.40 ,      574 ,   750
   2.1 ,regular ,    1 ,RL25027521   ,250-275  ,short         ,    72.63 ,      581 ,   750
   2.4 ,regular ,    1 ,RR8024       ,80       ,short         ,    10.39 ,     1039 ,   880
   2.4 ,regular ,    1 ,RR10024      ,100      ,short         ,    15.52 ,      931 ,   925
   2.4 ,regular ,    1 ,RR12024      ,120      ,short         ,    18.36 ,      771 ,   925
   2.4 ,regular ,    1 ,RR14024      ,140      ,short         ,    23.40 ,      702 ,   880
   2.4 ,regular ,    1 ,RR16024      ,160      ,short         ,    30.29 ,      636 ,   890
   2.4 ,regular ,    2 ,RR18024G2    ,180      ,short         ,    34.94 ,      559 ,   890
